Sample	Bay	TubeID	Maturity_fieldob	Sex	Location	PCL	FL	TL 	Girth 	Eye2eye 	Bulge_slope	Mouth_width	Maturity
BB1	Biscayne Area	FS0547	subadult	F	Aisle 9	55	60	75	20	12.369	0.1093	5.967	immature
BB2	Biscayne Area	FS0556	mature	F	Bear Cut	60	65	80	23	12.998	0.0967	6.061	mature
BB3	Biscayne Area	FS0557	mature	F	Bear Cut	62	68	83	22	12.662	0.1117	5.849	mature
BB4	Biscayne Area	FS0559	mature	F	Bear Cut	59	65	80	22	12.811	0.1	6.056	mature
BB5	Biscayne Area	FS0575	mature	F	Aisle 9	67	73	87	26	12.214	0.1007	5.051	mature
BB6	Biscayne Area	FS0602	mature	M	Aisle 9	50	54	67	15	11.121	0.1241	4.296	mature
BB7	Biscayne Area	FS0603	mature	F	Aisle 9	61	66	91	18				mature
BB8	Biscayne Area	FS0604	mature	F	Aisle 9	65	72	87	21	13.639	0.109	6.277	mature
BB9	Biscayne Area	FS0605	immature	F	Aisle 9	47	53	65	16	10.451	0.1341	4.914	immature
BB10	Biscayne Area	FS0606	immature	M	Aisle 9	52	59	69	17				immature
BB11	Biscayne Area	FS0607	mature	M	Aisle 9	54	59	72	17				mature
BB12	Biscayne Area	FS0608	mature	M	Aisle 9	54	59	72	16	11.534	0.1261	4.413	mature
BB13	Biscayne Area	FS0609	mature	M	Aisle 9	55	61	75	17				mature
BB14	Biscayne Area	FS0610	mature	M	Aisle 9	46	52	63	16				mature
BB15	Biscayne Area	FS0611	mature	M	Aisle 9	55	61	74	16	11.497	0.1417	5.124	mature
BB16	Biscayne Area	DOA		F	Aisle 9	50	55	69	16	11.72	0.1014	4.867	immature
BB17	Biscayne Area	DOA	immature	M	Aisle 9	47	51	64	14	10.299	0.1343	4.567	immature
BB18	Biscayne Area	FS0614	mature	F	Lemon Drop	63	70	86	23	14.152	0.1002	7.02	mature
BB19	Biscayne Area	FS0616	mature	F	Aisle 9	68	77	92	26	15.041	0.0867	8.209	mature
BB20	Biscayne Area	FS0625	mature	M	Aisle 9	56	60	75	19	12.363	0.1198	5.332	mature
BB21	Biscayne Area	FS0627	subadult	F	Bear Cut	50	56	69	20	11.386	0.1266	5.76	immature
BB22	Biscayne Area	FS0628	immature	F	Bear Cut	55	60	73	19	11.405	0.1247	5.38	immature
BB23	Biscayne Area	FS0629	mature	M	Bear Cut	53	58	72	16	11.374	0.1285	5.445	mature
BB24	Biscayne Area	FS0631	mature	M	Aisle 9	51	56	69	17	11.24	0.1303	5.051	mature
BB25	Biscayne Area	FS0632	mature	F	Aisle 9	55	61	74	21	12.403	0.1077	5.706	mature
BB26	Biscayne Area	FS0633	mature	F	Aisle 9	56	61	76	20	12.287	0.1314	5.403	mature
BB27	Biscayne Area	FS0637	mature	F	Aisle 9	64.5	70.5	86	22	13.096	0.1026	6.385	mature
BB28	Biscayne Area	FS0638	mature	M	Aisle 9	53	60	72	17	10.939	0.1517	4.774	mature
BB29	Biscayne Area	FS0639	mature	F	Aisle 9	58	64	78	20	12.422	0.1085	6.387	mature
BB30	Biscayne Area	FS0642	mature	M	Aisle 9	51	57	68	17	11.439	0.1263	5.506	mature
BB31	Biscayne Area	FS0643	mature	F	Aisle 9	53	59	73	19	11.234	0.1056	5.088	mature
BB32	Biscayne Area	FS0646	immature	M	Aisle 9	52	58	71	16.5				immature
BB33	Biscayne Area	FS0648	immature	M	Aisle 9	46	49	61	13				immature
BB34	Biscayne Area	FS0649	subadult	M	Aisle 9	55	60	74	18	11.949	0.1183	4.814	immature
BB35	Biscayne Area	FS0650	mature	M	Aisle 9	52	57	70	16				mature
BB36	Biscayne Area	FS0651	mature	F	Aisle 9	73	80	85	26	14.093	0.095	6.132	mature
BB37	Biscayne Area	FS0652	immature	M	Aisle 9	49	53	67	16				immature
BB38	Biscayne Area	FS0653	immature	F	Aisle 9	58	63	77	17				immature
BB39	Biscayne Area	FS0654	mature	F	Aisle 9	67	73	89	23				mature
BB40	Biscayne Area	FS0655		M	Aisle 9	49	54	67	15				mature
BB41	Biscayne Area	FS0656		M	Aisle 9	51	55	67	17	11.116	0.1276	4.384	mature
BB42	Biscayne Area	FS0657		F	Aisle 9	52	58	69	18				immature
BB43	Biscayne Area	FS0663	mature	F	Bear Cut	65	72	86	24	12.809	0.0974	6.538	mature
BB44	Biscayne Area	FS0664	mature	F	Bear Cut	63	68	84	20				mature
BB45	Biscayne Area	FS0665	mature	F	Bear Cut	66	72	88	24	12.776	0.1008	6.55	mature
BB46	Biscayne Area	DOA	subadult	M	Aisle 9	49	53	67	16	10.583	0.1292	4.538	immature
BB47	Biscayne Area	FS0667	mature	F	Aisle 9	65	70	87	23	12.604	0.1032	6.814	mature
BB48	Biscayne Area	FS0675	mature	F	Tiger Tail	63	69	85	20				mature
BB49	Biscayne Area	FS0677	immature	F	Tiger Tail	52	58	72	14	11.182	0.125	5.642	immature
BB50	Biscayne Area	FS0678	mature	M	Tiger Tail	56	62	76	20	11.667	0.1179	5.295	mature
BB51	Biscayne Area	FS0682	immature	F	Aisle 9	52	57	71	15	11.114	0.1124	4.613	immature
BB52	Biscayne Area	FS0683	mature	F	Aisle 9	66	72	88	24	13.034	0.0937	7.148	mature
BB53	Biscayne Area	FS0685	mature	F	Aisle 9	61	66.5	81	21	12.243	0.1057	5.672	mature
